"caseId","teamDomain","channelName","year","conversationId","utteranceCount","participantCount","questionLikeCount","requestCount","decisionCount","resolutionCount","humanRiskCount","operationalIncidentCount","refreshEligibleCount","containsCodeFence","containsUrl","preview"
"clojurians-clojure-2019-conv-21","clojurians","clojure","2019","21","10","2","0","0","0","0","0","0","0","true","false","Ferne: <@Vita> if you're taking code as input at runtime, I think that's basically the definition of what `eval` is for Ferne: if the code has unbound locals, which I _think_ is what you're describing, I've used a trick to wrap it in a function that takes the "
"clojurians-clojure-2019-conv-22","clojurians","clojure","2019","22","12","3","1","1","0","0","0","1","0","false","true","Mariela: Is there something like <https://github.com/lightyear/sql-logging#options> but for Clojure? tldr it aides you see if you have costly SQL being emitted, and actually points out the culprit LOC Mariela: On second thoughts, probably this library wouldn't"
"clojurians-clojure-2019-conv-23","clojurians","clojure","2019","23","3","1","0","0","0","0","0","0","0","false","false","Stefany: OMG! Stefany: I thought that the REPL compiles the same way how it would be compiled to a JAR. I don't get it... Stefany: But thank you so much! I honestly would never have believed that such great differences possibly could exist between repl and jar"
"clojurians-clojure-2019-conv-24","clojurians","clojure","2019","24","9","3","2","0","0","0","0","1","0","false","false","Kristine: why does `(read-string ""07"")` return `7`, but `(read-string ""08"")` throws an exception? Tammera: a leading zero often means that the following number is octal Tammera: 8 however, is not a valid literal in octal"
"clojurians-clojure-2019-conv-26","clojurians","clojure","2019","26","8","4","2","0","0","0","0","0","0","false","false","Celestine: Because everything dating back to C did it. Technically back to B, C's predecessor. B's predecessor BCPL used # for octal but B used that as an operator. So leading 0 means octal in almost every language out there today. Celestine: Octal was much mo"
"clojurians-clojure-2019-conv-27","clojurians","clojure","2019","27","45","4","5","0","0","0","0","0","0","true","false","Tressa: if i have an input array of strings, and i want to pick those that are also in a predefined set of valid strings, is it better to use `(filter #{""valid1"" ""valid"",,,} input)` or some other way? Tammera: I think with the set is quite elegant Tammera: `de"
"clojurians-clojure-2019-conv-28","clojurians","clojure","2019","28","6","3","1","0","0","0","0","0","1","false","false","Shayla: input being a list? Tressa: sure did. Shayla: i suspect using the filter set predicate is using some sort of set-based stuff under the hood that makes comparisons to other sets much faster than comparing against a list"
"clojurians-clojure-2019-conv-29","clojurians","clojure","2019","29","4","3","2","0","0","0","0","0","0","false","false","Celestine: (uh-oh, is Alex going to correct me?) Jasmine: with a big enough N and enough sample points, dotimes is sufficient, imo Latonya: So obviously people are not ""endlessly"" sticking with conventions of predecessors?"
"clojurians-clojure-2019-conv-30","clojurians","clojure","2019","30","8","5","0","0","0","0","0","0","0","false","true","Tammera: Haha, you are right andy. I actually made my statement before looking up whether newer gen languages would have adapted. As often, Rust serves as a positive surprise Tammera: Swift also goes for `0o` whereas Go goes for the traditional `0`. Interestin"
"clojurians-clojure-2019-conv-32","clojurians","clojure","2019","32","3","2","2","0","0","0","0","0","0","false","false","Kirby: Does anyone know of a good way to ""sandbox"" the loading of namespaces? I'm trying to find a way to load and evaluate a namespace from an external source without interfering with the bindings in my current Clojure process' instance of the same namespace."
"clojurians-clojure-2019-conv-34","clojurians","clojure","2019","34","3","3","2","0","0","0","0","0","0","false","false","Amada: Does anyone have an example of deploying a clojure library to clojars from gitlab-ci? Elizebeth: Is leading `0o` used for anything *else*? It would be nice if we could see older languages adopting that pattern too. At least then if `0o` and `0` both rep"
"clojurians-clojure-2019-conv-35","clojurians","clojure","2019","35","19","6","8","0","0","0","0","0","0","false","false","Bernard: in for answer Stasia: ; Queen: Is there any syntax that will help me include a specific key/val in a map depending on clojure/clojurescript target? I know of `#?(:clj)`, but usable inside a map form"
"clojurians-clojure-2019-conv-38","clojurians","clojure","2019","38","20","5","5","0","0","0","0","0","1","true","true","Hassie: Is there any way to determine in custom macro whether passed symbol is macro or function? Hassie: my test is `(:macro (meta (var loop)))` Hassie: of course this doesn't work here ``` (defmacro is-macro? [sym] (let [m? (:macro (meta (var sym)))] `~m?)) "
"clojurians-clojure-2019-conv-39","clojurians","clojure","2019","39","8","2","2","0","0","0","0","0","0","false","false","Antwan: None Antwan: got some... fun recursion Dann: Why recur with objs in one tail, and sorted-objs in another, when both are the same value?"
"clojurians-clojure-2019-conv-41","clojurians","clojure","2019","41","4","3","3","0","0","0","0","0","1","false","true","Mariela: Is there something like <https://github.com/NoRedInk/rspec-retry> for clojure.test? Stasia: To refresh specific tests, or refresh in general? Mariela: To re-run a test that is failing, operating under the assumption that the test is flaky"
